result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,is_cheaper,difference,last_week_price_usd,last_week_captured_timestamp,is_cheaper_last_week,difference_last_week
Forza Horizon 4 Hot Wheels Legends Car Pack,2016,13.87,04/25/23 09:33:45,False,0.08,8.23,04/20/23 15:59:55,False,5.64
Forza Horizon 4 Lego Speed Champions,2016,6.81,04/25/23 09:33:45,False,0.03,6.75,04/20/23 15:59:55,False,0.06
Forza Horizon 4 Ultimate Edition,2014,19.98,04/25/23 09:33:45,False,0.1,16.97,04/20/23 15:59:55,False,3.01
Forza Horizon 4,2018,24.22,04/25/23 09:33:45,False,14.04,10.14,04/20/23 15:59:55,False,14.08
Forza Horizon 4 Best Of Bond Car Pack,2023,9.3,04/25/23 09:33:45,False,0.01,,,False,
Forza Horizon 4 Expansions Bundle,2022,35.65,04/25/23 09:33:45,False,0.04,22.03,04/20/23 15:59:55,False,13.62
Forza Horizon 4 Deluxe Edition,2020,25.18,04/25/23 09:33:45,False,0.12,19.41,04/20/23 15:59:55,False,5.77
Forza Horizon 4 Fortune Island,2020,8.44,04/25/23 09:33:45,False,0.04,8.25,04/20/23 15:59:55,False,0.19
Forza Horizon 4 Icons Car Pack,2014,28.17,04/25/23 09:33:45,False,16.68,7.97,04/20/23 15:59:55,False,20.2
Forza Horizon 4 Vip,2021,22.17,04/25/23 09:33:45,False,4.03,13.81,04/20/23 15:59:55,False,8.36
Forza Horizon 5 Rally Adventure,2019,17.13,04/25/23 09:33:46,False,0.09,14.57,04/20/23 15:59:56,False,2.56
Forza Horizon 5 Hot Wheels,2019,16.61,04/25/23 09:33:46,False,0.09,11.06,04/20/23 15:59:56,False,5.55
Forza Horizon 5 Expansions Bundle,2018,28.24,04/25/23 09:33:46,False,0.02,21.35,04/20/23 15:59:56,False,6.89
Forza Horizon 5,2018,23.18,04/25/23 09:33:46,False,18.48,4.68,04/20/23 15:59:56,False,18.5
Forza Horizon 5 Premium Edition,2018,38.96,04/25/23 09:33:46,False,0.04,21.82,04/20/23 15:59:56,False,17.14
Forza Horizon 5 Deluxe Edition,2018,42.74,04/25/23 09:33:46,True,-8.95,28.1,04/20/23 15:59:56,False,14.64
Gunvolt Chronicles Luminous Avenger Ix 2,2018,14.82,04/25/23 09:33:46,False,0.0,5.82,04/20/23 15:59:57,False,9.0
Immortals Fenyx Rising Gold Edition,,23.51,04/25/23 09:33:47,False,0.12,10.61,04/20/23 15:59:58,False,12.9
Lost Judgment,,18.25,04/25/23 09:33:48,False,0.09,10.59,04/20/23 15:59:59,False,7.66
Lost Judgment Digital Deluxe Edition,,21.58,04/25/23 09:33:48,False,0.11,14.88,04/20/23 15:59:59,False,6.7
Lost Judgment Digital Ultimate Edition,,85.12,04/25/23 09:33:48,False,0.08,13.85,04/20/23 15:59:59,False,71.27
Judgment,,12.35,04/25/23 09:33:48,False,0.07,5.62,04/20/23 15:59:59,False,6.73
Gears Of War Judgment,2023,13.79,04/25/23 09:33:48,False,0.07,10.39,04/20/23 15:59:59,False,3.4
Ni No Kuni Wrath Of The White Witch Remastered,2022,39.76,04/25/23 09:33:49,False,0.2,21.93,04/20/23 15:59:59,False,17.83
Nier Replicant Ver 1 22474487139,2021,15.7,04/25/23 09:33:52,False,0.08,13.8,04/20/23 16:00:01,False,1.9
Nier Replicant,2021,63.02,04/25/23 09:33:52,True,-1.27,51.97,04/20/23 16:00:01,False,11.05
Nierautomata Become As Gods Edition,2022,35.17,04/25/23 09:33:53,False,0.18,12.77,04/20/23 16:00:02,False,22.4
Octopath Traveler,2021,27.83,04/25/23 09:33:55,False,0.15,20.14,04/20/23 16:00:04,False,7.69
Ori And The Will Of The Wisps,2020,6.94,04/25/23 09:33:56,True,-2.15,4.05,04/20/23 16:00:05,False,2.89
Ori The Collection,2020,15.95,04/25/23 09:33:57,False,0.09,8.68,04/20/23 16:00:06,False,7.27
