result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Overcooked 2 Night Of The Hangry Horde,2019,7.96,01/18/23 15:21:46,7.97,01/18/23 06:18:28,True,-0.009999999999999787
Overcooked 2 2,2018,1.81,01/18/23 15:21:46,1.81,01/18/23 06:18:28,False,0.0
Overcooked 2 Carnival Of Chaos,2018,2.05,01/18/23 15:21:46,2.05,01/18/23 06:18:28,False,0.0
Overcooked Overcooked 2,,5.03,01/18/23 15:21:46,5.03,01/18/23 06:18:28,False,0.0
Persona 5 Royal,2019,39.42,01/18/23 15:21:47,39.08,01/18/23 06:18:31,False,0.3400000000000034
Scarlet Nexus,2021,2.08,01/18/23 15:21:48,2.08,01/18/23 06:18:33,False,0.0
Scarlet Nexus Deluxe Edition,2021,10.45,01/18/23 15:21:48,10.47,01/18/23 06:18:33,True,-0.02000000000000135
Scarlet Nexus Ultimate Edition,2021,20.49,01/18/23 15:21:48,20.52,01/18/23 06:18:33,True,-0.030000000000001137
Sd Gundam Battle Alliance,2022,26.1,01/18/23 15:21:50,26.14,01/18/23 06:18:34,True,-0.03999999999999915
Sd Gundam Battle Alliance Deluxe Edition,,64.81,01/18/23 15:21:50,64.9,01/18/23 06:18:34,True,-0.09000000000000341
Soul Hackers 2,2022,32.9,01/18/23 15:21:52,32.95,01/18/23 06:18:36,True,-0.05000000000000426
Soul Hackers 2 Digital Deluxe Edition,,35.53,01/18/23 15:21:52,35.59,01/18/23 06:18:36,True,-0.060000000000002274
Tales Of Arise Ultimate Edition,2021,42.34,01/18/23 15:21:54,42.4,01/18/23 06:18:37,True,-0.05999999999999517
Tales Of Arise,2021,17.56,01/18/23 15:21:54,17.58,01/18/23 06:18:37,True,-0.019999999999999574
Tales Of Arise Deluxe Edition,2021,36.05,01/18/23 15:21:54,36.1,01/18/23 06:18:37,True,-0.05000000000000426
Like A Dragon Ishin,2023,49.7,01/18/23 15:21:55,49.82,01/18/23 06:18:39,True,-0.11999999999999744
Yakuza 6 Song Of Life Clan Creator Card Bundle,2021,5.3,01/18/23 15:21:55,5.24,01/18/23 06:18:39,False,0.05999999999999961
Yakuza Like A Dragon Legendary Hero Edition,2020,16.71,01/18/23 15:21:55,16.74,01/18/23 06:18:39,True,-0.029999999999997584
Yakuza Like A Dragon Hero Edition,2020,9.41,01/18/23 15:21:55,9.43,01/18/23 06:18:39,True,-0.019999999999999574
Yakuza Like A Dragon,2020,9.41,01/18/23 15:21:55,9.42,01/18/23 06:18:39,True,-0.009999999999999787
Yakuza Like A Dragon Day One Edition,2020,25.18,01/18/23 15:21:55,24.97,01/18/23 06:18:39,False,0.21000000000000085
The Yakuza Remastered Collection,2020,7.17,01/18/23 15:21:55,7.18,01/18/23 06:18:39,True,-0.009999999999999787
Yakuza 4 Remastered,2019,3.97,01/18/23 15:21:55,3.97,01/18/23 06:18:39,False,0.0
Yakuza 5 Remastered,2019,4.17,01/18/23 15:21:55,4.18,01/18/23 06:18:39,True,-0.009999999999999787
Yakuza 3 Remastered,2018,4.17,01/18/23 15:21:55,4.18,01/18/23 06:18:39,True,-0.009999999999999787
Yakuza Kiwami 2,2017,3.12,01/18/23 15:21:55,3.13,01/18/23 06:18:39,True,-0.009999999999999787
Yakuza Kiwami,2016,2.61,01/18/23 15:21:55,2.61,01/18/23 06:18:39,False,0.0
Yakuza 6 The Song Of Life,2016,3.57,01/18/23 15:21:55,3.58,01/18/23 06:18:39,True,-0.010000000000000231
Yakuza 0,2015,2.61,01/18/23 15:21:55,2.61,01/18/23 06:18:39,False,0.0
Devil May Cry 5 Special Edition,2020,15.68,01/18/23 15:21:56,15.7,01/18/23 06:18:41,True,-0.019999999999999574
Red Dead Redemption 2,2018,8.57,01/18/23 15:21:58,8.58,01/18/23 06:18:42,True,-0.009999999999999787
Red Dead Redemption 2 Ultimate Edition,2018,19.85,01/18/23 15:21:58,19.88,01/18/23 06:18:42,True,-0.029999999999997584
Red Dead Redemption 2 Special Edition,,30.86,01/18/23 15:21:58,30.86,01/18/23 06:18:42,False,0.0
The Witcher 3 Wild Hunt Game Of The Year Edition,2016,3.07,01/18/23 15:21:59,3.07,01/18/23 06:18:44,False,0.0
The Witcher 3 Wild Hunt Complete Edition,2016,4.74,01/18/23 15:21:59,4.76,01/18/23 06:18:44,True,-0.019999999999999574
The Witcher 3 Wild Hunt Blood And Wine,2016,2.87,01/18/23 15:21:59,2.87,01/18/23 06:18:44,False,0.0
The Witcher 3 Wild Hunt,2015,3.72,01/18/23 15:21:59,3.72,01/18/23 06:18:44,False,0.0
The Witcher 3 Wild Hunt Hearts Of Stone,2015,1.75,01/18/23 15:21:59,1.76,01/18/23 06:18:44,True,-0.010000000000000009
Hades,2019,3.75,01/18/23 15:22:01,3.75,01/18/23 06:18:46,False,0.0
Outbreak Shades Of Horror,,48.52,01/18/23 15:22:01,48.6,01/18/23 06:18:46,True,-0.0799999999999983
Sekiro Shadows Die Twice,2019,8.65,01/18/23 15:22:02,8.66,01/18/23 06:18:47,True,-0.009999999999999787
