result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Lost Judgment Digital Ultimate Edition,2021,22.2,11/25/22 15:54:30,22.2,11/25/22 15:54:30,False,0.0
Judgment,2018,11.88,11/25/22 15:54:30,11.88,11/25/22 15:54:30,False,0.0
Gears Of War Juxxxxxx(dement),2013,5.21,11/25/22 15:54:30,5.21,11/25/22 15:54:30,False,0.0
Ni No Kuni Wrath Of The White Witch Remastered,2019,37.48,11/25/22 15:54:33,37.48,11/25/22 15:54:33,False,0.0
Nier Replicant Ver 1 22474487139,2021,22.48,11/25/22 15:54:35,22.48,11/25/22 15:54:35,False,0.0
Nier Replicant,2010,52.14,11/25/22 15:54:35,52.14,11/25/22 15:54:35,False,0.0
Nierautomata Become As Gods Edition,2018,12.36,11/25/22 15:54:36,12.36,11/25/22 15:54:36,False,0.0
No More Heroes Iii,2021,20.76,11/25/22 15:54:38,20.76,11/25/22 15:54:38,False,0.0
Octopath Traveler,2018,17.33,11/25/22 15:54:39,17.33,11/25/22 15:54:39,False,0.0
Ori And The Will Of The Wisps,2020,4.5,11/25/22 15:54:40,4.5,11/25/22 15:54:40,False,0.0
Overcooked 2 Gourmet Edition,2020,5.14,11/25/22 15:54:42,5.14,11/25/22 15:54:42,False,0.0
Overcooked 2 Night Of The Hangry Horde,2019,7.68,11/25/22 15:54:42,7.68,11/25/22 15:54:42,False,0.0
Overcooked 2 Campfire Cook Off,2019,1.98,11/25/22 15:54:42,1.98,11/25/22 15:54:42,False,0.0
Overcooked 2 2,2018,2.83,11/25/22 15:54:42,2.83,11/25/22 15:54:42,False,0.0
Overcooked 2 Carnival Of Chaos,2018,1.98,11/25/22 15:54:42,1.98,11/25/22 15:54:42,False,0.0
Overcooked Overcooked 2,,12.57,11/25/22 15:54:42,12.57,11/25/22 15:54:42,False,0.0
Persona 5 Royal,2019,36.5,11/25/22 15:54:45,36.5,11/25/22 15:54:45,False,0.0
Scarlet Nexus,2021,2.0,11/25/22 15:54:47,2.0,11/25/22 15:54:47,False,0.0
Scarlet Nexus Ultimate Edition,2021,14.14,11/25/22 15:54:47,14.14,11/25/22 15:54:47,False,0.0
Scarlet Nexus Deluxe Edition,2021,17.0,11/25/22 15:54:47,17.0,11/25/22 15:54:47,False,0.0
Sd Gundam Battle Alliance,2022,34.12,11/25/22 15:54:49,34.12,11/25/22 15:54:49,False,0.0
Sd Gundam Battle Alliance Deluxe Edition,,63.92,11/25/22 15:54:49,63.92,11/25/22 15:54:49,False,0.0
Soul Hackers 2,2022,32.48,11/25/22 15:54:50,32.48,11/25/22 15:54:50,False,0.0
Soul Hackers 2 Digital Deluxe Edition,,44.19,11/25/22 15:54:50,44.19,11/25/22 15:54:50,False,0.0
Tales Of Arise Ultimate Edition,2021,40.88,11/25/22 15:54:52,40.88,11/25/22 15:54:52,False,0.0
Tales Of Arise,2021,16.99,11/25/22 15:54:52,16.99,11/25/22 15:54:52,False,0.0
Tales Of Arise Deluxe Edition,2021,65.06,11/25/22 15:54:52,65.06,11/25/22 15:54:52,False,0.0
Like A Dragon Ishin,2023,48.99,11/25/22 15:54:53,48.99,11/25/22 15:54:53,False,0.0
Yakuza Like A Dragon,2020,11.1,11/25/22 15:54:53,11.1,11/25/22 15:54:53,False,0.0
Yakuza Like A Dragon Legendary Hero Edition,2020,24.73,11/25/22 15:54:53,24.73,11/25/22 15:54:53,False,0.0
The Yakuza Remastered Collection,2020,7.38,11/25/22 15:54:53,7.38,11/25/22 15:54:53,False,0.0
Yakuza Like A Dragon Hero Edition,2020,16.14,11/25/22 15:54:53,16.14,11/25/22 15:54:53,False,0.0
Yakuza Like A Dragon Day One Edition,2020,22.42,11/25/22 15:54:53,22.42,11/25/22 15:54:53,False,0.0
Yakuza 5 Remastered,2019,5.98,11/25/22 15:54:53,5.98,11/25/22 15:54:53,False,0.0
Yakuza 4 Remastered,2019,6.0,11/25/22 15:54:53,6.0,11/25/22 15:54:53,False,0.0
Yakuza 3 Remastered,2018,6.0,11/25/22 15:54:53,6.0,11/25/22 15:54:53,False,0.0
Yakuza Kiwami 2,2017,4.42,11/25/22 15:54:53,4.42,11/25/22 15:54:53,False,0.0
Yakuza 6 The Song Of Life,2016,3.99,11/25/22 15:54:53,3.99,11/25/22 15:54:53,False,0.0
Yakuza Kiwami,2016,3.69,11/25/22 15:54:53,3.69,11/25/22 15:54:53,False,0.0
Yakuza 0,2015,3.69,11/25/22 15:54:53,3.69,11/25/22 15:54:53,False,0.0
Devil May Cry 5 Special Edition,2020,11.83,11/25/22 15:54:55,11.83,11/25/22 15:54:55,False,0.0
Red Dead Redemption 2,2018,8.27,11/25/22 15:54:56,8.27,11/25/22 15:54:56,False,0.0
Red Dead Redemption 2 Ultimate Edition,2018,29.55,11/25/22 15:54:56,29.55,11/25/22 15:54:56,False,0.0
Red Dead Redemption 2 Special Edition,,29.39,11/25/22 15:54:56,29.39,11/25/22 15:54:56,False,0.0
